model,class,precision,recall,f1,support,roc_auc
VGG16,Bird-drop,0.7895,0.8824,0.8333,17,0.9764
VGG16,Clean,0.8,0.8889,0.8421,18,0.9837
VGG16,Dusty,0.8571,0.8,0.8276,15,0.9821
VGG16,Electrical-damage,0.9091,0.8333,0.8696,12,0.9336
VGG16,Physical-Damage,1.0,0.8571,0.9231,14,0.9964
VGG16,Snow-Covered,0.9412,0.9412,0.9412,17,0.9961
EfficientNetB3,Bird-drop,0.8824,0.8824,0.8824,17,0.9954
EfficientNetB3,Clean,0.9444,0.9444,0.9444,18,1.0
EfficientNetB3,Dusty,0.8125,0.8667,0.8387,15,0.9838
EfficientNetB3,Electrical-damage,0.8462,0.9167,0.88,12,0.9979
EfficientNetB3,Physical-Damage,0.8571,0.8571,0.8571,14,0.991
EfficientNetB3,Snow-Covered,1.0,0.8824,0.9375,17,0.9977
MobileNetV2,Bird-drop,0.75,0.8824,0.8108,17,0.9807
MobileNetV2,Clean,0.8182,1.0,0.9,18,0.9896
MobileNetV2,Dusty,1.0,0.7333,0.8462,15,0.994
MobileNetV2,Electrical-damage,1.0,0.8333,0.9091,12,0.9547
MobileNetV2,Physical-Damage,0.9167,0.7857,0.8462,14,0.9919
MobileNetV2,Snow-Covered,0.8889,0.9412,0.9143,17,0.9969
